top - 00:54:19 up  8:25,  2 users,  load average: 5.90, 4.74, 4.22
Tasks: 442 total,   1 running, 440 sleeping,   0 stopped,   1 zombie
%Cpu(s): 19.0 us,  5.8 sy,  0.0 ni, 73.0 id,  0.0 wa,  1.5 hi,  0.7 si,  0.0 st 
MiB Mem :  31867.4 total,   2200.2 free,  19525.3 used,  14626.9 buff/cache     
MiB Swap:  15933.5 total,  15933.4 free,      0.1 used.  12342.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 138223 freekbi+  20   0   26.3g   4.2g  93372 S 150.0  13.5 168:42.74 /var/ho+
   2336 freekbi+  -2   0 2334216 293032 200552 S  41.7   0.9  65:04.50 /usr/bi+
  22691 freekbi+  20   0 1395.6g 491700 161592 S  16.7   1.5  43:03.97 /app/ex+
 141041 freekbi+  20   0 3561976 646044 169752 S  16.7   2.0   9:05.02 /app/li+
 160361 freekbi+  20   0  235448   5828   3588 R  16.7   0.0   0:00.02 top -b +
   2324 freekbi+   9 -11  341928  21196   9372 S   8.3   0.1   4:56.15 /usr/bi+
   4331 freekbi+  20   0   12.3g 744664 326240 S   8.3   2.3 145:20.74 /app/li+
  22599 freekbi+  20   0 4882216 481644 240692 S   8.3   1.5   4:24.86 /app/ex+
  22634 freekbi+  20   0   50.9g 220480 137700 S   8.3   0.7  11:36.44 /app/ex+
 150500 freekbi+  20   0 1778236 170128 117580 S   8.3   0.5   0:12.86 /usr/bi+
      1 root      20   0   41032  21680  11592 S   0.0   0.1   0:02.96 /usr/li+
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.02 [kthrea+
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [pool_w+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
